Cement_kgm3,Blast_Furnace_Slag_kgm3,Fly_Ash_kgm3,Water_kgm3,Superplasticizer_kgm3,Coarse_Aggregate_kgm3,Fine_Aggregate_kgm3,Age_days
425,106.3,0,153.5,16.5,852.1,887.1,28
425,106.3,0,151.4,18.6,936,803.7,28
375,93.8,0,126.6,23.4,852.1,992.6,28
475,118.8,0,181.1,8.9,852.1,781.5,28
469,117.2,0,137.8,32.2,852.1,840.5,28
425,106.3,0,153.5,16.5,852.1,887.1,28
388.6,97.1,0,157.9,12.1,852.1,925.7,28
531.3,0,0,141.8,28.2,852.1,893.7,28
425,106.3,0,153.5,16.5,852.1,887.1,28
318.8,212.5,0,155.7,14.3,852.1,880.4,28
401.8,94.7,0,147.4,11.4,946.8,852.1,28
362.6,189,0,164.9,11.6,944.7,755.8,28
323.7,282.8,0,183.8,10.3,942.7,659.9,28
379.5,151.2,0,153.9,15.9,1134.3,605,28
362.6,189,0,164.9,11.6,944.7,755.8,28
286.3,200.9,0,144.7,11.2,1004.6,803.7,28
362.6,189,0,164.9,11.6,944.7,755.8,28
439,177,0,186,11.1,884.9,707.9,28
389.9,189,0,145.9,22,944.7,755.8,28
362.6,189,0,164.9,11.6,944.7,755.8,28

